Paper ID,Title,Abstract,Publication Year,Citations,ROT Score,DOI,Source URL,ROT Group
26,Feature Weight Tuning for Recursive Neural Networks,"This paper addresses how a recursive neural network model can automatically
leave out useless information and emphasize important evidence, in other words,
to perform ""weight tuning"" for higher-level ...",2014,15,1.25,N/A,http://arxiv.org/abs/1412.3714v2,Low ROT
322,Advanced Neural Network Architectures for Deep Learning - Study 220,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2015,17,1.55,synthetic_220,https://synthetic.paper/220,Low ROT
72,"A Hierarchical Latent Variable Encoder-Decoder Model for Generating
  Dialogues","Sequential data often possesses a hierarchical structure with complex
dependencies between subsequences, such as found between the utterances in a
dialogue. In an effort to model this kind of generati...",2016,16,1.60,N/A,http://arxiv.org/abs/1605.06069v3,Low ROT
202,Quantum Machine Learning Algorithms - Study 100,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2016,16,1.60,synthetic_100,https://synthetic.paper/100,Low ROT
220,Deep Learning for Medical Image Analysis - Study 118,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2015,18,1.64,synthetic_118,https://synthetic.paper/118,Low ROT
49,Towards Neural Network-based Reasoning,"We propose Neural Reasoner, a framework for neural network-based reasoning
over natural language sentences. Given a question, Neural Reasoner can infer
over multiple supporting facts and find an answe...",2015,19,1.73,N/A,http://arxiv.org/abs/1508.05508v1,Low ROT
227,Knowledge Distillation in Deep Learning - Study 125,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,19,1.73,synthetic_125,https://synthetic.paper/125,Low ROT
103,Graph Neural Networks for Social Network Analysis - Study 1,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2016,18,1.80,synthetic_1,https://synthetic.paper/1,Low ROT
154,Advanced Neural Network Architectures for Deep Learning - Study 52,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2015,21,1.91,synthetic_52,https://synthetic.paper/52,Low ROT
166,Generative Adversarial Networks for Image Synthesis - Study 64,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2016,20,2.00,synthetic_64,https://synthetic.paper/64,Low ROT
312,Generative Adversarial Networks for Image Synthesis - Study 210,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,22,2.00,synthetic_210,https://synthetic.paper/210,Low ROT
45,"A Neural Network Approach to Context-Sensitive Generation of
  Conversational Re...","We present a novel response generation system that can be trained end to end
on large quantities of unstructured Twitter conversations. A neural network
architecture is used to address sparsity issues...",2015,22,2.00,N/A,http://arxiv.org/abs/1506.06714v1,Low ROT
391,Quantum Machine Learning Algorithms - Study 289,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2017,18,2.00,synthetic_289,https://synthetic.paper/289,Low ROT
333,Continual Learning in Neural Networks - Study 231,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2015,23,2.09,synthetic_231,https://synthetic.paper/231,Low ROT
29,Quantifying Uncertainties in Natural Language Processing Tasks,"Reliable uncertainty quantification is a first step towards building
explainable, transparent, and accountable artificial intelligent systems.
Recent progress in Bayesian deep learning has made such q...",2018,17,2.12,N/A,http://arxiv.org/abs/1811.07253v1,Low ROT
46,"The Ubuntu Dialogue Corpus: A Large Dataset for Research in Unstructured
  Multi...","This paper introduces the Ubuntu Dialogue Corpus, a dataset containing almost
1 million multi-turn dialogues, with a total of over 7 million utterances and
100 million words. This provides a unique re...",2015,24,2.18,N/A,http://arxiv.org/abs/1506.08909v3,Low ROT
60,"How NOT To Evaluate Your Dialogue System: An Empirical Study of
  Unsupervised E...","We investigate evaluation metrics for dialogue response generation systems
where supervised labels, such as task completion, are not available. Recent
works in response generation have adopted metrics...",2016,22,2.20,N/A,http://arxiv.org/abs/1603.08023v2,Low ROT
303,Machine Learning Applications in Computer Vision - Study 201,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2018,18,2.25,synthetic_201,https://synthetic.paper/201,Low ROT
245,Federated Learning for Privacy-Preserving AI - Study 143,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2018,18,2.25,synthetic_143,https://synthetic.paper/143,Low ROT
191,Optimization Algorithms in Machine Learning - Study 89,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,25,2.27,synthetic_89,https://synthetic.paper/89,Low ROT
50,"What to talk about and how? Selective Generation using LSTMs with
  Coarse-to-Fi...","We propose an end-to-end, domain-independent neural encoder-aligner-decoder
model for selective generation, i.e., the joint task of content selection and
surface realization. Our model first encodes a...",2015,25,2.27,N/A,http://arxiv.org/abs/1509.00838v2,Low ROT
147,Adversarial Training for Robust Neural Networks - Study 45,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2015,25,2.27,synthetic_45,https://synthetic.paper/45,Low ROT
359,Adversarial Training for Robust Neural Networks - Study 257,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,26,2.36,synthetic_257,https://synthetic.paper/257,Low ROT
250,Attention Mechanisms in Neural Networks - Study 148,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2015,26,2.36,synthetic_148,https://synthetic.paper/148,Low ROT
123,Adversarial Training for Robust Neural Networks - Study 21,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2018,19,2.38,synthetic_21,https://synthetic.paper/21,Low ROT
119,Natural Language Processing with Transformer Models - Study 17,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2016,24,2.40,synthetic_17,https://synthetic.paper/17,Low ROT
213,Neural Architecture Search for Automated ML - Study 111,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2016,24,2.40,synthetic_111,https://synthetic.paper/111,Low ROT
336,Federated Learning for Privacy-Preserving AI - Study 234,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2015,27,2.45,synthetic_234,https://synthetic.paper/234,Low ROT
121,Graph Neural Networks for Social Network Analysis - Study 19,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2015,27,2.45,synthetic_19,https://synthetic.paper/19,Low ROT
63,Piecewise Latent Variables for Neural Variational Text Processing,"Advances in neural variational inference have facilitated the learning of
powerful directed graphical models with continuous latent variables, such as
variational autoencoders. The hope is that such m...",2016,25,2.50,N/A,http://arxiv.org/abs/1612.00377v4,Low ROT
195,Natural Language Processing with Transformer Models - Study 93,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2016,25,2.50,synthetic_93,https://synthetic.paper/93,Low ROT
57,Compositional Obverter Communication Learning From Raw Visual Input,"One of the distinguishing aspects of human language is its compositionality,
which allows us to describe complex environments with limited vocabulary.
Previously, it has been shown that neural network...",2018,20,2.50,N/A,http://arxiv.org/abs/1804.02341v1,Low ROT
51,Incorporating Copying Mechanism in Sequence-to-Sequence Learning,"We address an important problem in sequence-to-sequence (Seq2Seq) learning
referred to as copying, in which certain segments in the input sequence are
selectively replicated in the output sequence. A ...",2016,26,2.60,N/A,http://arxiv.org/abs/1603.06393v3,Low ROT
47,"Building End-To-End Dialogue Systems Using Generative Hierarchical
  Neural Netw...","We investigate the task of building open domain, conversational dialogue
systems based on large dialogue corpora using generative models. Generative
models produce system responses that are autonomous...",2015,30,2.73,N/A,http://arxiv.org/abs/1507.04808v3,Low ROT
27,"A Recurrent Neural Model with Attention for the Recognition of Chinese
  Implici...","We introduce an attention-based Bi-LSTM for Chinese implicit discourse
relations and demonstrate that modeling argument pairs as a joint sequence can
outperform word order-agnostic approaches. Our mod...",2017,25,2.78,N/A,http://arxiv.org/abs/1704.08092v1,Low ROT
292,Neural Network Compression Techniques - Study 190,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2017,25,2.78,synthetic_190,https://synthetic.paper/190,Low ROT
238,Graph Neural Networks for Social Network Analysis - Study 136,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2015,31,2.82,synthetic_136,https://synthetic.paper/136,Low ROT
381,Neural Network Compression Techniques - Study 279,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,31,2.82,synthetic_279,https://synthetic.paper/279,Low ROT
196,Generative Adversarial Networks for Image Synthesis - Study 94,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2015,31,2.82,synthetic_94,https://synthetic.paper/94,Low ROT
137,Neural Network Compression Techniques - Study 35,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2016,29,2.90,synthetic_35,https://synthetic.paper/35,Low ROT
193,Optimization Algorithms in Machine Learning - Study 91,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2016,30,3.00,synthetic_91,https://synthetic.paper/91,Low ROT
399,Neural Architecture Search for Automated ML - Study 297,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2019,21,3.00,synthetic_297,https://synthetic.paper/297,Low ROT
257,Quantum Machine Learning Algorithms - Study 155,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2016,30,3.00,synthetic_155,https://synthetic.paper/155,Low ROT
55,Improving speech recognition by revising gated recurrent units,"Speech recognition is largely taking advantage of deep learning, showing that
substantial benefits can be obtained by modern Recurrent Neural Networks
(RNNs). The most popular RNNs are Long Short-Term...",2017,27,3.00,N/A,http://arxiv.org/abs/1710.00641v1,Low ROT
384,Deep Learning for Medical Image Analysis - Study 282,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,33,3.00,synthetic_282,https://synthetic.paper/282,Low ROT
197,Graph Neural Networks for Social Network Analysis - Study 95,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2016,31,3.10,synthetic_95,https://synthetic.paper/95,Low ROT
262,Attention Mechanisms in Neural Networks - Study 160,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2018,25,3.12,synthetic_160,https://synthetic.paper/160,Low ROT
140,Graph Neural Networks for Social Network Analysis - Study 38,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2018,25,3.12,synthetic_38,https://synthetic.paper/38,Low ROT
396,Explainable AI for Trustworthy Machine Learning - Study 294,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2019,22,3.14,synthetic_294,https://synthetic.paper/294,Low ROT
371,Generative Adversarial Networks for Image Synthesis - Study 269,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2020,19,3.17,synthetic_269,https://synthetic.paper/269,Low ROT
54,Bridging LSTM Architecture and the Neural Dynamics during Reading,"Recently, the long short-term memory neural network (LSTM) has attracted wide
interest due to its success in many tasks. LSTM architecture consists of a
memory cell and three gates, which looks simila...",2016,32,3.20,N/A,http://arxiv.org/abs/1604.06635v1,Low ROT
98,Neural Associative Memory for Dual-Sequence Modeling,"Many important NLP problems can be posed as dual-sequence or
sequence-to-sequence modeling tasks. Recent advances in building end-to-end
neural architectures have been highly successful in solving suc...",2016,32,3.20,N/A,http://arxiv.org/abs/1606.03864v2,Low ROT
376,Graph Neural Networks for Social Network Analysis - Study 274,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2018,26,3.25,synthetic_274,https://synthetic.paper/274,Low ROT
249,Graph Neural Networks for Social Network Analysis - Study 147,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2016,33,3.30,synthetic_147,https://synthetic.paper/147,Low ROT
339,Deep Learning for Medical Image Analysis - Study 237,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2016,33,3.30,synthetic_237,https://synthetic.paper/237,Low ROT
48,End-to-End Attention-based Large Vocabulary Speech Recognition,"Many of the current state-of-the-art Large Vocabulary Continuous Speech
Recognition Systems (LVCSR) are hybrids of neural networks and Hidden Markov
Models (HMMs). Most of these systems contain separa...",2015,37,3.36,N/A,http://arxiv.org/abs/1508.04395v2,Low ROT
44,"Recurrent Neural Networks with External Memory for Language
  Understanding","Recurrent Neural Networks (RNNs) have become increasingly popular for the
task of language understanding. In this task, a semantic tagger is deployed to
associate a semantic label to each word in an i...",2015,37,3.36,N/A,http://arxiv.org/abs/1506.00195v1,Low ROT
165,Adversarial Training for Robust Neural Networks - Study 63,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2016,34,3.40,synthetic_63,https://synthetic.paper/63,Low ROT
143,Self-Supervised Learning in Computer Vision - Study 41,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2017,31,3.44,synthetic_41,https://synthetic.paper/41,Low ROT
294,Graph Neural Networks for Social Network Analysis - Study 192,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,38,3.45,synthetic_192,https://synthetic.paper/192,Low ROT
247,Optimization Algorithms in Machine Learning - Study 145,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2016,35,3.50,synthetic_145,https://synthetic.paper/145,Low ROT
189,Deep Learning for Medical Image Analysis - Study 87,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2015,39,3.55,synthetic_87,https://synthetic.paper/87,Low ROT
73,A Structured Self-attentive Sentence Embedding,"This paper proposes a new model for extracting an interpretable sentence
embedding by introducing self-attention. Instead of using a vector, we use a
2-D matrix to represent the embedding, with each r...",2017,32,3.56,N/A,http://arxiv.org/abs/1703.03130v1,Low ROT
353,Graph Neural Networks for Social Network Analysis - Study 251,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2019,25,3.57,synthetic_251,https://synthetic.paper/251,Low ROT
331,Quantum Machine Learning Algorithms - Study 229,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2019,25,3.57,synthetic_229,https://synthetic.paper/229,Low ROT
347,Reinforcement Learning for Autonomous Systems - Study 245,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2016,36,3.60,synthetic_245,https://synthetic.paper/245,Low ROT
261,Self-Supervised Learning in Computer Vision - Study 159,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2016,36,3.60,synthetic_159,https://synthetic.paper/159,Low ROT
215,Federated Learning for Privacy-Preserving AI - Study 113,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2016,36,3.60,synthetic_113,https://synthetic.paper/113,Low ROT
58,DOLORES: Deep Contextualized Knowledge Graph Embeddings,"We introduce a new method DOLORES for learning knowledge graph embeddings
that effectively captures contextual cues and dependencies among entities and
relations. First, we note that short paths on kn...",2018,29,3.62,N/A,http://arxiv.org/abs/1811.00147v1,Low ROT
320,Natural Language Processing with Transformer Models - Study 218,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2020,22,3.67,synthetic_218,https://synthetic.paper/218,Low ROT
236,Graph Neural Networks for Social Network Analysis - Study 134,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2017,33,3.67,synthetic_134,https://synthetic.paper/134,Low ROT
4,Tutorial on Answering Questions about Images with Deep Learning,"Together with the development of more accurate methods in Computer Vision and
Natural Language Understanding, holistic architectures that answer on questions
about the content of real-world images hav...",2016,37,3.70,N/A,http://arxiv.org/abs/1610.01076v1,Low ROT
114,Neural Network Compression Techniques - Study 12,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2016,37,3.70,synthetic_12,https://synthetic.paper/12,Low ROT
224,Quantum Machine Learning Algorithms - Study 122,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2019,26,3.71,synthetic_122,https://synthetic.paper/122,Low ROT
325,Meta-Learning Approaches for Few-Shot Learning - Study 223,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2015,41,3.73,synthetic_223,https://synthetic.paper/223,Low ROT
162,Machine Learning Applications in Computer Vision - Study 60,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2015,41,3.73,synthetic_60,https://synthetic.paper/60,Low ROT
25,Dirichlet Variational Autoencoder for Text Modeling,"We introduce an improved variational autoencoder (VAE) for text modeling with
topic information explicitly modeled as a Dirichlet latent variable. By
providing the proposed model topic awareness, it i...",2018,30,3.75,N/A,http://arxiv.org/abs/1811.00135v1,Low ROT
314,Quantum Machine Learning Algorithms - Study 212,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2017,34,3.78,synthetic_212,https://synthetic.paper/212,Low ROT
136,Neural Network Compression Techniques - Study 34,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2017,34,3.78,synthetic_34,https://synthetic.paper/34,Low ROT
18,DopeLearning: A Computational Approach to Rap Lyrics Generation,"Writing rap lyrics requires both creativity to construct a meaningful,
interesting story and lyrical skills to produce complex rhyme patterns, which
form the cornerstone of good flow. We present a rap...",2015,42,3.82,N/A,http://arxiv.org/abs/1505.04771v2,Low ROT
152,Natural Language Processing with Transformer Models - Study 50,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2015,42,3.82,synthetic_50,https://synthetic.paper/50,Low ROT
70,Continual Lifelong Learning in Natural Language Processing: A Survey,"Continual learning (CL) aims to enable information systems to learn from a
continuous data stream across time. However, it is difficult for existing deep
learning architectures to learn a new task wit...",2020,23,3.83,N/A,http://arxiv.org/abs/2012.09823v1,Low ROT
263,Self-Supervised Learning in Computer Vision - Study 161,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2020,23,3.83,synthetic_161,https://synthetic.paper/161,Low ROT
217,Neural Network Compression Techniques - Study 115,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2019,27,3.86,synthetic_115,https://synthetic.paper/115,Low ROT
100,"Switch-based Active Deep Dyna-Q: Efficient Adaptive Planning for
  Task-Completi...","Training task-completion dialogue agents with reinforcement learning usually
requires a large number of real user experiences. The Dyna-Q algorithm extends
Q-learning by integrating a world model, and...",2018,31,3.88,N/A,http://arxiv.org/abs/1811.07550v1,Low ROT
167,Attention Mechanisms in Neural Networks - Study 65,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2016,39,3.90,synthetic_65,https://synthetic.paper/65,Low ROT
74,"Why PairDiff works? -- A Mathematical Analysis of Bilinear Relational
  Composit...","Representing the semantic relations that exist between two given words (or
entities) is an important first step in a wide-range of NLP applications such
as analogical reasoning, knowledge base complet...",2017,36,4.00,N/A,http://arxiv.org/abs/1709.06673v2,Low ROT
351,Meta-Learning Approaches for Few-Shot Learning - Study 249,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2019,28,4.00,synthetic_249,https://synthetic.paper/249,Low ROT
304,Knowledge Distillation in Deep Learning - Study 202,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2017,36,4.00,synthetic_202,https://synthetic.paper/202,Low ROT
131,Quantum Machine Learning Algorithms - Study 29,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2015,44,4.00,synthetic_29,https://synthetic.paper/29,Low ROT
204,Reinforcement Learning for Autonomous Systems - Study 102,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2018,33,4.12,synthetic_102,https://synthetic.paper/102,Low ROT
234,Graph Neural Networks for Social Network Analysis - Study 132,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2019,29,4.14,synthetic_132,https://synthetic.paper/132,Low ROT
30,"NUIG-Shubhanker@Dravidian-CodeMix-FIRE2020: Sentiment Analysis of
  Code-Mixed D...","Social media has penetrated into multilingual societies, however most of them
use English to be a preferred language for communication. So it looks natural
for them to mix their cultural language with...",2020,25,4.17,N/A,http://arxiv.org/abs/2010.07773v1,Low ROT
182,Quantum Machine Learning Algorithms - Study 80,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2015,46,4.18,synthetic_80,https://synthetic.paper/80,Low ROT
67,Czech News Dataset for Semantic Textual Similarity,"This paper describes a novel dataset consisting of sentences with semantic
similarity annotations. The data originate from the journalistic domain in the
Czech language. We describe the process of col...",2021,21,4.20,N/A,http://arxiv.org/abs/2108.08708v3,Low ROT
271,Attention Mechanisms in Neural Networks - Study 169,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2016,42,4.20,synthetic_169,https://synthetic.paper/169,Low ROT
21,"Adversarial Attacks on Knowledge Graph Embeddings via Instance
  Attribution Met...","Despite the widespread use of Knowledge Graph Embeddings (KGE), little is
known about the security vulnerabilities that might disrupt their intended
behaviour. We study data poisoning attacks against ...",2021,21,4.20,N/A,http://arxiv.org/abs/2111.03120v1,Low ROT
